"App","Disposition","Reason"
"3CX Desktop App","Skip-Agent","UC/telephony clients provisioned per tenant"
"3CXPhone for Windows","Skip-Agent","UC/telephony clients provisioned per tenant"
"3DF Zephyr Free","Skip-Niche","photogrammetry vertical"
"3DxWare 10","Skip-Component","3Dconnexion device driver suite"
"4K Video Downloader","Skip-Niche","consumer media software"
"4K Video Downloader+","Skip-Niche","consumer media software"
"7-Zip","Supported","existing packager: 7zip"
"8x8 Work","Skip-Agent","UC/telephony clients provisioned per tenant"
"AbaClient","Skip-Niche","Swiss Abacus ERP client"
"Able2Extract Professional","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"Acro Software CutePDF Writer","Supported","existing packager: cutepdfwriter"
"ActiveState Software Komodo Edit","Skip-EOL","Komodo discontinued"
"ActiveState Software Komodo IDE","Skip-EOL","Komodo discontinued"
"Adobe AIR","Skip-EOL","HARMAN-maintained, EOL for general web use; licensing changed"
"Agent Ransack","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"AIMP","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Air Explorer","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"Aircall for desktop","Skip-Agent","UC/telephony clients provisioned per tenant"
"AirParrot 2","Skip-Niche","AV-room/casting vertical tools"
"Akiflow","Skip-Niche","subscription SaaS wrapper"
"alfaview","Skip-Niche","regional conferencing client"
"Allway Sync","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"ALLPlayer","Skip-Niche","consumer media software"
"Altova XMLSpy Enterprise 2023","Skip-Licensed","licensed XML tooling"
"Amazon AWS Command Line Interface","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Amazon AWS Tools for Windows","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31] [note: MSI bundle frozen since 2023-10; AWS steers to PowerShell Gallery AWS.Tools - shipped as works-but-legacy]"
"Amazon AWS VPN Client","Added-1.4.0.16","free direct download from AWS [ported, stage-verified 2026-08-31]"
"Amazon Corretto 18","Skip-Splinter","non-LTS Corretto; LTS lines 8/11/17/21/25 are supported"
"Amazon Corretto JDK 8","Supported","corretto-jdk LTS packagers (8/11/17/21/25 lines maintained)"
"Amazon Corretto JDK 11","Supported","corretto-jdk LTS packagers (8/11/17/21/25 lines maintained)"
"Amazon Corretto JDK 15","Skip-Splinter","non-LTS Corretto; LTS lines 8/11/17/21/25 are supported"
"Amazon Corretto JDK 16","Skip-Splinter","non-LTS Corretto; LTS lines 8/11/17/21/25 are supported"
"Amazon Corretto JDK 17","Supported","corretto-jdk LTS packagers (8/11/17/21/25 lines maintained)"
"Amazon Corretto JDK 19","Skip-Splinter","non-LTS Corretto; LTS lines 8/11/17/21/25 are supported"
"Amazon DCV Client","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Amazon Kindle","Skip-Niche","consumer media software"
"Amazon Redshift ODBC driver","Added-1.4.0.16","free direct driver download [ported, stage-verified 2026-08-31]"
"Amazon WorkSpaces","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Android Studio 2022","Added-1.4.0.16","Google free direct download; one packager tracks latest [ported, stage-verified 2026-08-31]"
"Android Studio 3","Skip-Splinter","old Android Studio; latest tracked"
"Android Studio 4","Skip-Splinter","old Android Studio; latest tracked"
"AnyBurn","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"AnyDesk","Supported","existing packager: anydesk"
"AnyLogic Professional","Skip-Licensed","licensed simulation"
"AnyLogic University","Skip-Licensed","licensed simulation"
"Anywhere365 Integrator","Skip-Agent","UC/telephony clients provisioned per tenant"
"App Dynamic AirServer Universal","Skip-Niche","AV-room/casting vertical tools"
"Appgate SDP Client","Skip-Agent","ZTNA client tied to org controller"
"Apple iTunes","Skip-Niche","consumer media software"
"Aptakube","Skip-Licensed","licensed Kubernetes GUI"
"Araxis Merge","Skip-Licensed","licensed diff tool"
"ArcticLine Software Jet Screenshot","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"Arduino IDE","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Articulate 360","Skip-Licensed","licensed e-learning suite"
"Articulate Replay 360","Skip-Licensed","licensed e-learning suite"
"Articulate Studio 360","Skip-Licensed","licensed e-learning suite"
"Artweaver Free","Skip-Niche","consumer art tool"
"ASAP Utilities","Skip-Licensed","licensed for business use"
"ASUS Remote Drive","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Astute Manager","Skip-Niche","plugin manager for licensed suite"
"Atlassian Companion","Skip-EOL","deprecated by Atlassian"
"Atlassian Confluence","Skip-Niche","server product, not endpoint software"
"Atomi Systems ActivePresenter","Skip-Niche","niche authoring tools"
"Atostek ID","Skip-Niche","vertical/regional line-of-business software"
"Audacity","Supported","existing packager: audacity"
"Autodesk Access","Skip-Wall","Autodesk account/licensing ecosystem"
"Autodesk Design Review 2018","Skip-Wall","Autodesk account/licensing ecosystem"
"Autodesk Identity Manager","Skip-Wall","Autodesk account/licensing ecosystem"
"Autodesk Interoperability Tools","Skip-Wall","Autodesk account/licensing ecosystem"
"Autodesk Single Signon Component","Skip-Wall","Autodesk account/licensing ecosystem"
"AVer Information A+ Suite","Skip-Niche","AV-room/casting vertical tools"
"AVS Image Converter","Skip-Niche","consumer media software"
"AVS Media Player","Skip-Niche","consumer media software"
"AWS SAM command line interface","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"AWS Session Manager Plugin","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"AxCrypt","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Axel Rietschin Software Developments FastPictureViewer Professional","Skip-EOL","abandoned"
"Axure RP","Skip-Licensed","licensed UX tool"
"Azure Functions Core Tools","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Bambu Studio","Added-1.4.0.16","free direct (GitHub releases) [ported, stage-verified 2026-08-31]"
"BandiView","Skip-Niche","consumer image viewer"
"Beam Studio","Skip-Niche","laser-cutter vertical"
"Beats Winlogbeat","Skip-Agent","stack-configured shipper"
"Belgium e-ID viewer","Skip-Niche","vertical/regional line-of-business software"
"Beyond Compare","Skip-Licensed","licensed diff tool (trial installer only)"
"Beyond Identity","Skip-Agent","tenant-provisioned authenticator"
"BleachBit","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Blender","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Blender Foundation Blender","Skip-Splinter","duplicate of Blender row (Add)"
"BlueJeans 2","Skip-Agent","UC/telephony clients provisioned per tenant"
